Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Postal Code,Product ID,Sales,Quantity,Discount,Profit,Category,Sub-Category,Product Name
1,CA-2022-152156,8/11/22,11/11/22,Second Class,CG-12520,Consumer,42420,FUR-BO-10001798,261.96,2,0.0,41.9136,Furniture,Bookcases,Bush Somerset Collection Bookcase
5400,CA-2022-117681,9/4/22,14/04/2022,Standard Class,HF-14995,Consumer,90004,FUR-BO-10001798,556.665,5,0.15,6.549,Furniture,Bookcases,Bush Somerset Collection Bookcase
8635,CA-2023-159793,25/08/2023,29/08/2023,Standard Class,SV-20365,Consumer,19140,FUR-BO-10001798,130.98,2,0.5,-89.0664,Furniture,Bookcases,Bush Somerset Collection Bookcase
9335,CA-2023-110198,1/5/23,2/5/23,First Class,AG-10900,Consumer,33065,FUR-BO-10001798,314.352,3,0.2,-15.7176,Furniture,Bookcases,Bush Somerset Collection Bookcase
2,CA-2022-152156,8/11/22,11/11/22,Second Class,CG-12520,Consumer,42420,FUR-CH-10000454,731.94,3,0.0,219.582,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs
150,CA-2022-114489,5/12/22,9/12/22,Standard Class,JE-16165,Corporate,53132,FUR-CH-10000454,1951.84,8,0.0,585.552,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs
4023,CA-2020-154963,22/06/2020,27/06/2020,Standard Class,AA-10645,Consumer,19013,FUR-CH-10000454,853.93,5,0.3,0.0,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs
4735,CA-2022-120530,7/4/22,12/4/22,Standard Class,Dl-13600,Corporate,10035,FUR-CH-10000454,658.746,3,0.1,146.388,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs
4851,CA-2020-107818,8/9/20,14/09/2020,Standard Class,MC-17275,Consumer,99301,FUR-CH-10000454,975.92,5,0.2,121.99,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs
4881,CA-2023-143567,2/11/23,5/11/23,Second Class,TB-21175,Corporate,42420,FUR-CH-10000454,975.92,4,0.0,292.776,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs
5142,CA-2022-111213,1/4/22,5/4/22,Standard Class,FP-14320,Consumer,10009,FUR-CH-10000454,1317.492,6,0.1,292.776,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs
5469,CA-2020-132451,26/09/2020,27/09/2020,First Class,KF-16285,Home Office,92105,FUR-CH-10000454,585.552,3,0.2,73.194,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs
6114,CA-2022-124590,12/11/22,16/11/2022,Standard Class,SP-20920,Consumer,44134,FUR-CH-10000454,1537.074,9,0.3,0.0,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs
7390,CA-2023-108035,29/11/2023,3/12/23,Standard Class,TT-21070,Consumer,37421,FUR-CH-10000454,390.368,2,0.2,48.796,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs
7562,CA-2022-105746,30/12/2022,1/1/23,First Class,BD-11605,Consumer,17602,FUR-CH-10000454,170.786,1,0.3,0.0,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs
9033,CA-2023-105823,22/06/2023,26/06/2023,Standard Class,RB-19465,Home Office,48227,FUR-CH-10000454,487.96,2,0.0,146.388,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs
